Prov. D.K.I. Jakarta,010000  
Prov. Kepulauan Bangka Belitung,290000  
Prov. D.I. Yogyakarta,040000  
Prov. Lampung,120000  
Prov. Kalimantan Barat,130000  
Prov. Jambi,100000  
Prov. Kalimantan Selatan,150000  
Prov. Aceh,060000  
Prov. Jawa Tengah,030000  
Prov. Jawa Timur,050000  
Prov. Bengkulu,260000  
Prov. Sumatera Utara,070000  
Prov. Sumatera Barat,080000  
Prov. Kalimantan Utara,340000  
Prov. Kalimantan Timur,160000  
Prov. Bali,220000  
Prov. Sulawesi Tenggara,200000  
Prov. Sumatera Selatan,110000  
Prov. Kalimantan Tengah,140000  
Prov. Gorontalo,300000  
Prov. Sulawesi Tengah,180000  
Prov. Banten,280000  
Prov. Jawa Barat,020000  
Prov. Sulawesi Selatan,190000  
Prov. Maluku,210000  
Prov. Maluku Utara,270000  
Prov. Papua Barat,320000  
Prov. Sulawesi Barat,330000  
Prov. Sulawesi Utara,170000  
Prov. Nusa Tenggara Barat,230000  
Prov. Riau,090000  
Prov. Nusa Tenggara Timur,240000  
Prov. Kepulauan Riau,310000  
Prov. Papua,250000  
Luar Negeri,350000  
